anime;anime_img;episodes;rate
Overlord;https://img1.ak.crunchyroll.com/i/spire3/9e1a4846885dc3994414b608f80490781531935326_full.jpg;39;462
Rio Rainbow Gate;https://img1.ak.crunchyroll.com/i/spire3/eabab1f2f4e879b9b10414de3e5c0c071292889215_full.jpg;0;445
Nisemonogatari;https://img1.ak.crunchyroll.com/i/spire1/784a57c4503428d301fdfc5745b2f0fd1326142127_full.jpg;0;467
HAIKYU!!;https://img1.ak.crunchyroll.com/i/spire4/a9c1f36167964b81371db1bde94087861580166621_full.jpg;75;495
My Little Monster;https://img1.ak.crunchyroll.com/i/spire1/53b073cb3b5876204ee79af4f6c451ee1349212607_full.jpg;13;453
Angel Beats;https://img1.ak.crunchyroll.com/i/spire2/d9a8fbeb4b5b9e2f2a0085d5d20c63df1337895779_full.jpg;13;469
KONOSUBA -God's blessing on this wonderful world!;https://img1.ak.crunchyroll.com/i/spire3/7ba81b1709a87f5ca8930229b10029a61484092235_full.jpg;44;465
Golden Time;https://img1.ak.crunchyroll.com/i/spire4/fc8938a7d556f9068bb8ed327c6c56351380569594_full.jpg;24;461
Diabolik Lovers;https://img1.ak.crunchyroll.com/i/spire4/6792970dea24081392ab45d083fc10791443978202_full.jpg;0;299
Dr. STONE;https://img1.ak.crunchyroll.com/i/spire3/cd61320a82ff1c1ff30f08f464a97f3f1571635066_full.jpg;25;465
Seitokai No Ichizon - Student Councils Discretion;https://img1.ak.crunchyroll.com/i/spire1/2dfe950df96a5bfef1e4db583fa69f851357250092_full.jpg;0;475
Horizon in the Middle of Nowhere;https://img1.ak.crunchyroll.com/i/spire1/34f01cb55a3f004bd9d29a5c452ed4e81343867370_full.jpg;0;444
Berserk;https://img1.ak.crunchyroll.com/i/spire3/43ea3545f4cd269d77ab1459b32c23921493158315_full.jpg;26;351
The Place Promised In Our Early Days;https://img1.ak.crunchyroll.com/i/spire1/083a17f889dbcd5a2d5f9b9870a829901237060646_full.jpg;0;484
Mob Psycho 100;https://img1.ak.crunchyroll.com/i/spire4/24452933dd3f9282b32e49f0ce5fdc5b1546985597_full.jpg;54;482
In Another World With My Smartphone;https://img1.ak.crunchyroll.com/i/spire3/d13ced1c661c61c8f70ad6e33245c46d1522875200_full.jpg;24;346
Shin Koihime Musou - Otome Tairan;https://img1.ak.crunchyroll.com/i/spire3/782667a99be2ec0f14e72d3a404490eb1279147111_full.jpg;0;477
Un-Go;https://img1.ak.crunchyroll.com/i/spire3/6861c749e6e7211b7bffe1aa34331a4c1318509515_full.jpg;0;466
Yona of the Dawn;https://img1.ak.crunchyroll.com/i/spire1/a624f140a1c8be841889d3fcca597f5a1414524144_full.jpg;24;479
GATE;https://img1.ak.crunchyroll.com/i/spire2/08918192d87bc1718efd977c683187031452280865_full.jpg;24;433
Dragon Ball Super;https://img1.ak.crunchyroll.com/i/spire3/98ea4207e23a2ea3e3af39ad641d88001533322009_full.jpg;131;424
Anohana: The Flower We Saw That Day;https://img1.ak.crunchyroll.com/i/spire4/75d87960c388efc544be093603b8e9f01406669874_full.jpg;11;482
Rascal Does Not Dream of Bunny Girl Senpai;https://img1.ak.crunchyroll.com/i/spire2/9f8894f961340ccdd9464a53b14ca3bd1538572740_full.jpg;13;488
Free! Iwatobi Swim Club;https://img1.ak.crunchyroll.com/i/spire3/5a459acf31a0be6fffb6207af1a9ca611532022569_full.jpg;49;464
Voices of a Distant Star;https://img1.ak.crunchyroll.com/i/spire3/b10fcea5778f8610e6f1df33ba3205921362703119_full.jpg;0;469
ReLIFE;https://img1.ak.crunchyroll.com/i/spire4/06f2c7030f794acf0bfdd34e5735bd191465708255_full.jpg;17;485
Kids on the Slope;https://img1.ak.crunchyroll.com/i/spire1/349e3b9e27f7b3e3044d4c91fb4d38f61336683938_full.jpg;0;488
Sailor Moon Crystal;https://img1.ak.crunchyroll.com/i/spire2/743b1abd76bc4fbe9b6df5427a0d08fb1459904360_full.jpg;39;445
Familiar of Zero F;https://img1.ak.crunchyroll.com/i/spire2/ccae1d7841b45b15b2436425af2d35301328571578_full.jpg;0;46
Isekai Cheat Magician;https://img1.ak.crunchyroll.com/i/spire1/27ee54e7e9ec05447cc2d971c99fbe9b1562751577_full.jpg;12;213
The Irregular at Magic High School;https://img1.ak.crunchyroll.com/i/spire3/f2ccbd8ea20320fda0f49b23bb43d2d21396649462_full.jpg;26;418
Mashiroiro Symphony;https://img1.ak.crunchyroll.com/i/spire4/9dba241249120a6fa7c172e7ced477cd1319149572_full.jpg;0;467
THE PROMISED NEVERLAND;https://img1.ak.crunchyroll.com/i/spire2/07f56cb3c9220952600b0975a883b0f91546997210_full.jpg;12;491
Miss Kobayashi's Dragon Maid;https://img1.ak.crunchyroll.com/i/spire1/c4cf4a91a0bca77f1a0954ddd48a2e8c1532552925_full.jpg;28;472
Hiiro no Kakera;https://img1.ak.crunchyroll.com/i/spire2/c005ccb42734352e840f3e6dea6dd4b11330716708_full.jpg;0;419
You and Me;https://img1.ak.crunchyroll.com/i/spire3/e7fb30f36753544de0691c836fa006291317839169_full.jpg;13;464
Rokka no Yuusha;https://img1.ak.crunchyroll.com/i/spire4/413329a7fe4baf3e48eec89117881f611436317729_full.jpg;24;391
The Prince of Tennis II;https://img1.ak.crunchyroll.com/i/spire4/4f1d962e1762d4009536245ba8ff21311324617556_full.jpg;20;471
Saga of Tanya the Evil;https://img1.ak.crunchyroll.com/i/spire1/b6cb5d2061b72df2e04e6b9678acfa631483619277_full.jpg;27;453
Aldnoah.Zero;https://img1.ak.crunchyroll.com/i/spire3/1ee8628337834531f6427a97248129871420484061_full.jpg;25;401
Recorder and Randsell;https://img1.ak.crunchyroll.com/i/spire2/e1f468b81edfa6254ae35e7a0b856ffa1529355959_full.jpg;39;431
My Love Story!!;https://img1.ak.crunchyroll.com/i/spire2/5d50aa025d0e1b17999ea760a3c7d9401428519808_full.jpg;24;488
Natsume Yuujinchou 4;https://img1.ak.crunchyroll.com/i/spire1/e14b0ca99c865bda94c0a491476096091327531053_full.jpg;13;491
Dusk Maiden of Amnesia;https://img1.ak.crunchyroll.com/i/spire3/5d5be299f4a1cc32e19dab711b2c1efa1334333859_full.jpg;0;469
Charlotte;https://img1.ak.crunchyroll.com/i/spire2/f67a9d25f1a79891bd8cc9e68bf6021c1435186459_full.jpg;13;451
Star Driver;https://img1.ak.crunchyroll.com/i/spire1/4a85b73040df15f6bb0b08911aa59a081313543934_full.jpg;0;461
How Not to Summon a Demon Lord;https://img1.ak.crunchyroll.com/i/spire2/0af3e3b13d3b9371c338a66878cff6151530795404_full.jpg;12;404
NARUTO Spin-Off: Rock Lee & His Ninja Pals;https://img1.ak.crunchyroll.com/i/spire3/759dd20c7d5ca3cc630e2d27e2a7f63e1333392499_full.jpg;51;41
Plastic Memories;https://img1.ak.crunchyroll.com/i/spire2/ad2b0b48b9f93920299b014bd70f24ed1428100037_full.jpg;13;463
Nyarko-san: Another Crawling Chaos;https://img1.ak.crunchyroll.com/i/spire4/48091c328bcf5be14d5153efedc783af1365015656_full.jpg;45;447
Galaxy Express 999;https://img1.ak.crunchyroll.com/i/spire4/149d215a67f3fdc611b1d58c0027ebd91237060340_full.jpg;0;47
The Pet Girl of Sakurasou;https://img1.ak.crunchyroll.com/i/spire2/6d03416fb5953f33d81e07e9f1b121f31350591324_full.jpg;0;479
Death March to the Parallel World Rhapsody;https://img1.ak.crunchyroll.com/i/spire3/3b63ca8429c5bed4b645000eab5208921515627980_full.jpg;24;377
Demonbane;https://img1.ak.crunchyroll.com/i/spire4/e6ad41b0de7dce89aacf0d0bf9f8b2571289442348_full.jpg;0;45
Mizu no Kotoba;https://img1.ak.crunchyroll.com/i/spire1/55047431e14daa0fbf62c4d4f9b121e61279148254_full.jpg;0;469
White Album;https://img1.ak.crunchyroll.com/i/spire4/73f9f47c165bd01f0e6550cfb81d23cc1279148246_full.jpg;0;43
The Idol Master;https://img1.ak.crunchyroll.com/i/spire2/6b3b9443ccb89ef959b8404e2e9957911311206564_full.png;0;465
Space Brothers;https://img1.ak.crunchyroll.com/i/spire2/9b11916ae9d5d8e53323ea072fd6157e1343265507_full.jpg;99;482
From The New World;https://img1.ak.crunchyroll.com/i/spire3/b4befa6e58687a64462a3511062bbfe11348858764_full.jpg;25;466
Gurren Lagann;https://img1.ak.crunchyroll.com/i/spire4/cf99ba5895abff9fa6fc7230a5c6d1b91367626926_full.jpg;0;485
Fullmetal Alchemist: Brotherhood;https://img1.ak.crunchyroll.com/i/spire4/fabddf1040abbd18948b9aacc18011b31475523493_full.jpg;64;493
citrus;https://img1.ak.crunchyroll.com/i/spire1/26b65bd12651ad9588731727fae840fc1515112511_full.jpg;12;424
Black Bullet;https://img1.ak.crunchyroll.com/i/spire2/893a35d45c053eb2171051fc591c07bc1396898246_full.jpg;13;411
Gargantia on the Verdurous Planet;https://img1.ak.crunchyroll.com/i/spire4/bc6a6632d9a1cbf1f8b0d233c26f14901365195220_full.jpg;17;457
Twin Star Exorcists;https://img1.ak.crunchyroll.com/i/spire2/0d9b4b1ea1fa85abd0472c0d1314c2601459549637_full.jpg;50;388
Moritasan wa Mukuchi;https://img1.ak.crunchyroll.com/i/spire4/fba7a8bf755e2dedf872ee680eb02ce31529355831_full.jpg;0;451
The Asterisk War;https://img1.ak.crunchyroll.com/i/spire2/533750c9078ac64f7606abdbb5e62a5e1444872589_full.jpg;24;364
Recovery of a MMO Junkie;https://img1.ak.crunchyroll.com/i/spire1/f543f3ac08acc24bfebe28ac2e8ac9231507245129_full.jpg;23;472
Tsuritama;https://img1.ak.crunchyroll.com/i/spire2/81768983b78e9d34c69ba21997f396e11335926055_full.jpg;12;474
